id,headline,URL,article,publisher,date,symbol
12,Tech Sector Shows Resilience Amid Market Volatility,https://www.benzinga.com/news/20/01/14095921/tech-sector-analysis,,Publisher B,2020-01-10,
11,Apple Launches New Product Line,https://seekingalpha.com/news/3520666-apple-product-launch,,Publisher B,2020-02-20,AAPL
5,Google Downgraded to Hold by Analysts,https://www.benzinga.com/news/20/03/15095921/tech-stocks-analysis,,Publisher A,2020-03-10,GOOGL
10,Google Announces New AI Initiatives,https://www.benzinga.com/news/20/03/15105921/google-ai-announcement,,Publisher B,2020-03-15,GOOGL
4,Amazon Target Price Raised to $3500,http://www.zacks.com/stock/news/858761/timing-the-market-is-it-possible-april-07-2020,"We use cookies to understand how you use our site and to improve your experience. This includes personalizing content and advertising. By pressing ""Accept All"" or closing out of this banner, you consent to the use of all cookies and similar technologies and the sharing of information they collect with third parties. You can reject marketing cookies by pressing ""Deny Optional,"" but we still use essential, performance, and functional cookies. In addition, whether you ""Accept All,"" Deny Optional,"" click the X or otherwise continue to use the site, you accept ourPrivacy PolicyandTerms of Service, revised from time to time. You are being directed to ZacksTrade, a division of LBMZ Securities and licensed broker-dealer. ZacksTrade and Zacks.com are separate companies. The web link between the two companies is not a solicitation or offer to invest in a particular security or type of security. ZacksTrade does not endorse or adopt any particular investment strategy, any analyst opinion/rating/report or any approach to evaluating individual securities. If you wish to go to ZacksTrade, clickOK. If you do not, click Cancel. OKCancel We'd like to show you notifications for the latest news and updates See our ""best of the best"" short-term stocks. Hand-picked from 220 new Strong Buys, they could be the most profitable stocks you own over the next 90 days. Recent picks have climbed as much as +97.3% within 30 days. Our new recommendations may soar just as high. See our ""best of the best"" short-term stocks. Hand-picked from 220 new Strong Buys, they could be the most profitable stocks you own over the next 90 days. Recent picks have climbed as much as +97.3% within 30 days. Our new recommendations may soar just as high. Today's market dip makes now an ideal time to get in. No cost. No credit card. No obligation to buy anything ever. Past performance is no guarantee of future results.We respect yourprivacy.Zacks UltimateMember? Click here. Download the just-released 5 Stocks Set to Double report. Each is the single favorite of a Zacks expert with the best chance to gain +100% or more. Download the just-released 5 Stocks Set to Double report. Each is the single favorite of a Zacks expert with the best chance to gain +100% or more. IBM posts strong Q3 results as Watsonx and quantum bets boost growth, while Micron rides AI-driven memory demand and Abbott expands on device strength. IBM posts strong Q3 results as Watsonx and quantum bets boost growth, while Micron rides AI-driven memory demand and Abbott expands on device strength. The success of the iPhone demonstrated the power of combining multiple functions into a single, seamless product. Companies like Robinhood, ICE, and Coinbase are now doing the same in the financial industry. The success of the iPhone demonstrated the power of combining multiple functions into a single, seamless product. Companies like Robinhood, ICE, and Coinbase are now doing the same in the financial industry. Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Will these companies beat earnings this quarter? Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Will these companies beat earnings this quarter? Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. The Q3 cycle continues to be one of positivity, with growth remaining strong and an above-average number of companies beating expectations. These companies saw big positivity following their better-than-expected results. The Q3 cycle continues to be one of positivity, with growth remaining strong and an above-average number of companies beating expectations. These companies saw big positivity following their better-than-expected results. Some of the non-Mag 7 companies reporting this week are earnings all-stars. Many of them are breaking out to new all-time highs. Some of the non-Mag 7 companies reporting this week are earnings all-stars. Many of them are breaking out to new all-time highs. Today's rate cut will bring the Fed funds rate down to 3.75-4.00% -- the lowest we've seen since mid-December 2022. Today's rate cut will bring the Fed funds rate down to 3.75-4.00% -- the lowest we've seen since mid-December 2022. Today we'll get as many as 356 companies on deck to report, including 3 of the Magnificent 7 stocks: Microsoft, Alphabet and Meta reporting after the close. Today we'll get as many as 356 companies on deck to report, including 3 of the Magnificent 7 stocks: Microsoft, Alphabet and Meta reporting after the close. More Commentary Learn to Profit from the Zacks Rank This leading surgical robotic stock surges on strong earnings and growing global adoption. This red-hot nuclear stock tied to the AI energy boom could be running out of fuel as earnings momentum fades. ViewAllZacks #1 Rank stocks The Zacks #1 Rank List is the best place to start your stock search each morning. It's made up of the top 5% of stocks with the most potential. Each weekday, you can quickly see theZacks #1 Rank Top Moversfrom Value to Growth, Momentum and Income, even VGM Score. Go to Zacks Rank #1 Top Movers You can see the fullZacks #1 RankList or narrow it down to Zacks #1 Rank Stocks with a Value, Growth, Momentum or Income Style Score of A or B. Plus, you can see the Zacks #1 Rank Stocks with a VGM of A or B. You can also sort the list with criteria you choose, view Additions and Deletions by day, and Performance. Go to the Zacks #1 Rank List View All Zacks Rank #1 Strong Buys byEthan Feller by Urmimala Biswas byAndrew Rocco More Stock Commentary NVIDIA inches closer to the $5-trillion market-cap mark. Play the AI chip boom via ETFs SHOC, SMH, SMHX, SOXY & SEMI. More ETF Commentary Fidelity Select Semiconductors, DWS Science & Technology and Fidelity Series Blue Chip Growth funds stand out as top no-load picks for long-term investors. More Mutual Fund Commentary The call option spread strategy is an excellent way to take advantage of the bullish move in this ETF. Except for Apple, the four Mag 7 members reporting this week are all leaders in the artificial intelligence space and are actively investing in data centers and related infrastructure to run large language models. But what else should investors be aware of? Get the First Calendar Made for Traders.Visit the Zacks Earnings Calendar EPS Positive Surprises for Oct 29, 2025 EPS Negative Surprises for Oct 29, 2025 Want an edge before earnings? Zacks Earnings ESP helps identify which stocks are most likely to surprise, with a 70% success rate. Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. Zacks picks the top stocks to buy now with a recent Strong Buy rating, ranked by Zacks Indicator Score. Watch the full series to learn how the Zacks Rank works. Watch the full series to learn how the ... We spotlight three international ETFs that are beating the S&P 500. We spotlight three international ETFs that are beating ... Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Visit our website: https://www.zacks.com Visit our Stocktwits account: https://stocktwits.com/ZacksResearch Check out our weekly promotion: https://www.zacks.com/promo If you\'re interested in our services, please check out Zacks Ultimate: https://www.zacks.com/ultimate/?adid=YOUTUBE&cid=sm-YOUTUBE Look beyond big technology at stocks in other ... Click here for 7-free handpicked stocks: https://www.zacks.com/promo Visit our website: https://www.zacks.com Visit our Stocktwits account: https://stocktwits.com/ZacksResearch Check out our weekly promotion: https://www.zacks.com/promo If you\'re interested in our services, please check out Zacks Ultimate: https://www.zacks.com/ultimate/?adid=YOUTUBE&cid=sm-YOUTUBE Click here for 7-free handpicked stocks: https://www....",Publisher A,2020-04-07,AMZN
9,Amazon Prime Day Sales Break Records,http://www.zacks.com/stock/news/858862/amazon-prime-day-success,"We use cookies to understand how you use our site and to improve your experience. This includes personalizing content and advertising. By pressing ""Accept All"" or closing out of this banner, you consent to the use of all cookies and similar technologies and the sharing of information they collect with third parties. You can reject marketing cookies by pressing ""Deny Optional,"" but we still use essential, performance, and functional cookies. In addition, whether you ""Accept All,"" Deny Optional,"" click the X or otherwise continue to use the site, you accept ourPrivacy PolicyandTerms of Service, revised from time to time. You are being directed to ZacksTrade, a division of LBMZ Securities and licensed broker-dealer. ZacksTrade and Zacks.com are separate companies. The web link between the two companies is not a solicitation or offer to invest in a particular security or type of security. ZacksTrade does not endorse or adopt any particular investment strategy, any analyst opinion/rating/report or any approach to evaluating individual securities. If you wish to go to ZacksTrade, clickOK. If you do not, click Cancel. OKCancel We'd like to show you notifications for the latest news and updates See our ""best of the best"" short-term stocks. Hand-picked from 220 new Strong Buys, they could be the most profitable stocks you own over the next 90 days. Recent picks have climbed as much as +97.3% within 30 days. Our new recommendations may soar just as high. See our ""best of the best"" short-term stocks. Hand-picked from 220 new Strong Buys, they could be the most profitable stocks you own over the next 90 days. Recent picks have climbed as much as +97.3% within 30 days. Our new recommendations may soar just as high. Today's market dip makes now an ideal time to get in. No cost. No credit card. No obligation to buy anything ever. Past performance is no guarantee of future results.We respect yourprivacy.Zacks UltimateMember? Click here. Download the just-released 5 Stocks Set to Double report. Each is the single favorite of a Zacks expert with the best chance to gain +100% or more. Download the just-released 5 Stocks Set to Double report. Each is the single favorite of a Zacks expert with the best chance to gain +100% or more. IBM posts strong Q3 results as Watsonx and quantum bets boost growth, while Micron rides AI-driven memory demand and Abbott expands on device strength. IBM posts strong Q3 results as Watsonx and quantum bets boost growth, while Micron rides AI-driven memory demand and Abbott expands on device strength. The success of the iPhone demonstrated the power of combining multiple functions into a single, seamless product. Companies like Robinhood, ICE, and Coinbase are now doing the same in the financial industry. The success of the iPhone demonstrated the power of combining multiple functions into a single, seamless product. Companies like Robinhood, ICE, and Coinbase are now doing the same in the financial industry. Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Will these companies beat earnings this quarter? Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Will these companies beat earnings this quarter? Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. The Q3 cycle continues to be one of positivity, with growth remaining strong and an above-average number of companies beating expectations. These companies saw big positivity following their better-than-expected results. The Q3 cycle continues to be one of positivity, with growth remaining strong and an above-average number of companies beating expectations. These companies saw big positivity following their better-than-expected results. Some of the non-Mag 7 companies reporting this week are earnings all-stars. Many of them are breaking out to new all-time highs. Some of the non-Mag 7 companies reporting this week are earnings all-stars. Many of them are breaking out to new all-time highs. Today's rate cut will bring the Fed funds rate down to 3.75-4.00% -- the lowest we've seen since mid-December 2022. Today's rate cut will bring the Fed funds rate down to 3.75-4.00% -- the lowest we've seen since mid-December 2022. Today we'll get as many as 356 companies on deck to report, including 3 of the Magnificent 7 stocks: Microsoft, Alphabet and Meta reporting after the close. Today we'll get as many as 356 companies on deck to report, including 3 of the Magnificent 7 stocks: Microsoft, Alphabet and Meta reporting after the close. More Commentary Learn to Profit from the Zacks Rank This leading surgical robotic stock surges on strong earnings and growing global adoption. This red-hot nuclear stock tied to the AI energy boom could be running out of fuel as earnings momentum fades. ViewAllZacks #1 Rank stocks The Zacks #1 Rank List is the best place to start your stock search each morning. It's made up of the top 5% of stocks with the most potential. Each weekday, you can quickly see theZacks #1 Rank Top Moversfrom Value to Growth, Momentum and Income, even VGM Score. Go to Zacks Rank #1 Top Movers You can see the fullZacks #1 RankList or narrow it down to Zacks #1 Rank Stocks with a Value, Growth, Momentum or Income Style Score of A or B. Plus, you can see the Zacks #1 Rank Stocks with a VGM of A or B. You can also sort the list with criteria you choose, view Additions and Deletions by day, and Performance. Go to the Zacks #1 Rank List View All Zacks Rank #1 Strong Buys byEthan Feller by Urmimala Biswas byAndrew Rocco More Stock Commentary NVIDIA inches closer to the $5-trillion market-cap mark. Play the AI chip boom via ETFs SHOC, SMH, SMHX, SOXY & SEMI. More ETF Commentary Fidelity Select Semiconductors, DWS Science & Technology and Fidelity Series Blue Chip Growth funds stand out as top no-load picks for long-term investors. More Mutual Fund Commentary The call option spread strategy is an excellent way to take advantage of the bullish move in this ETF. Except for Apple, the four Mag 7 members reporting this week are all leaders in the artificial intelligence space and are actively investing in data centers and related infrastructure to run large language models. But what else should investors be aware of? Get the First Calendar Made for Traders.Visit the Zacks Earnings Calendar EPS Positive Surprises for Oct 29, 2025 EPS Negative Surprises for Oct 29, 2025 Want an edge before earnings? Zacks Earnings ESP helps identify which stocks are most likely to surprise, with a 70% success rate. Stocks related to the rise of Artificial Intelligence (AI) are booming - here are the AI stocks analysts say are currently the best deal. Zacks picks the top stocks to buy now with a recent Strong Buy rating, ranked by Zacks Indicator Score. Watch the full series to learn how the Zacks Rank works. Watch the full series to learn how the ... We spotlight three international ETFs that are beating the S&P 500. We spotlight three international ETFs that are beating ... Look beyond big technology at stocks in other areas like big pharma, infrastructure, energy and aerospace. Visit our website: https://www.zacks.com Visit our Stocktwits account: https://stocktwits.com/ZacksResearch Check out our weekly promotion: https://www.zacks.com/promo If you\'re interested in our services, please check out Zacks Ultimate: https://www.zacks.com/ultimate/?adid=YOUTUBE&cid=sm-YOUTUBE Look beyond big technology at stocks in other ... Click here for 7-free handpicked stocks: https://www.zacks.com/promo Visit our website: https://www.zacks.com Visit our Stocktwits account: https://stocktwits.com/ZacksResearch Check out our weekly promotion: https://www.zacks.com/promo If you\'re interested in our services, please check out Zacks Ultimate: https://www.zacks.com/ultimate/?adid=YOUTUBE&cid=sm-YOUTUBE Click here for 7-free handpicked stocks: https://www....",Publisher B,2020-04-15,AMZN
3,Tesla Receives Upgrade to Outperform,https://www.benzinga.com/news/20/05/16095921/46-stocks-moving-in-fridays-mid-day-session,"Gainers Navidea Biopharmaceuticals, Inc. (NYSE: NAVB ) shares jumped 98.40% to $2.5201 after the company announced positive preliminary results from the second interim analysis of its ongoing NAV3-31 Phase 2B study. Sundial Growers Inc. (NASDAQ: SNDL ) rose 80.2% to $1.09 after gaining over 9% on Thursday. Celsion Corporation (NASDAQ: CLSN ) rose 34.5% to $3.1597 after jumping over 36% on Thursday. Evolus, Inc. (NASDAQ: EOLS ) gained 32.3% to $5.38. Vuzix Corporation (NASDAQ: VUZI ) climbed 28.5% to $3.20 as traders circulate OneZero article 'Glasses equipped with facial recognition are coming' mentioning the company. Renren Inc. (NYSE: RENN ) gained 27% to $3.88. Tetraphase Pharmaceuticals, Inc. (NASDAQ: TTPH ) rose 21.3% to $2.79. Tetraphase Pharmaceuticals, which has been pursued by multiple companies, said its board has determined that the latest proposal from Melinta Therapeutics, Inc. is a ""Superior Offer."" Melinta has offered $27 million in cash, plus an additional $12.5 million in cash potentially payable under contingent value rights to be issued in the proposed acquisition. LiveRamp Holdings, Inc. (NYSE: RAMP ) gained 21.2% to $46.96 after reporting upbeat Q4 results. Xenon Pharmaceuticals Inc. (NASDAQ: XENE ) rose 20.1% to $16.66 following strong quarterly results. Digirad Corporation (NASDAQ: DRAD ) shares climbed 17.8% to $2.38 after declining around 16% on Thursday. Microbot Medical Inc. (NASDAQ: MBOT ) rose 17.1% to $7.85. Xeris Pharmaceuticals Inc (NASDAQ: XERS ) gained 15.6% to $5.25 after the company reported findings from outpatient portion of Phase 2 proof-of-concept study of its developmental ready-to-use glucagon in patients at risk of postprandial hypoglycemia following bariatric surgery. BioLineRx Ltd. (NASDAQ: BLRX ) gained 13.5% to $2.35. Bridgeline Digital, Inc. (NASDAQ: BLIN ) rose 13.3% to $1.71. T2 Biosystems, Inc. (NASDAQ: TTOO ) rose 12.5% to $0.7342. T2 Biosystems said it anticipates shipping first SARS-CoV-2 tests to the US customers as early as end of June. Tiziana Life Sciences PLC (NASDAQ: TLSA ) climbed 12.4% to $5.79 after the company announced plans to demerge its StemPrintER and SPARE genomics-based personalized medicine businesses into a separate company. Acacia Research Corporation (NASDAQ: ACTG ) gained 10.3% to $2.56. Craig-Hallum initiated coverage on Acacia Research with a Buy rating and a price target of $4. Splunk Inc. (NASDAQ: SPLK ) climbed 10.2% to $180.10 after the company reported better-than-expected Q1 earnings. e.l.f. Beauty, Inc. (NYSE: ELF ) gained 10% to $15.87 after the company reported better-than-expected Q1 EPS and sales results. Pluralsight, Inc. (NASDAQ: PS ) rose 9.1% to $22.14 after Piper Sandler initiated coverage on the stock with an Overweight rating and a $26 price target. Agilent Technologies Inc (NYSE: A ) rose 6.5% to $86.00 after the company reported better-than-expected Q2 results. Medigus Ltd. (NASDAQ: MDGS ) gained 6% to $2.88 after ScoutCam, the company's subsidiary, announced it has achieved a breakthrough for its operating room-ready wireless endoscope. Check out these big penny stock gainers and losers Losers Recon Technology, Ltd. (NASDAQ: RCON ) shares dipped 45.1% to $2.03 after the company reported pricing of approximately $2.1 million registered direct offering. Luckin Coffee Inc. (NASDAQ: LK ) fell 29.4% to $1.42 after dropping 30% on Thursday. Syndax Pharmaceuticals, Inc. (NASDAQ: SNDX ) fell 22.3% to $15.9 after the company reported receipt of final results from Phase 3 E2112 trial of entinostat plus exemestane in patients with HR+, HER2- breast cancer. The trial did not achieve primary endpoint. SeaChange International, Inc. (NASDAQ: SEAC ) dipped 22.2% to $1.89 after the company issued a business update in response to global impact of COVID-19. Gulf Resources, Inc. (NASDAQ: GURE ) dropped 21.7% to $4.26. Gulf Resources reported a Q1 loss of $0.37 on Thursday. Geron Corporation (NASDAQ: GERN ) fell 20.5% to $1.5576 after the company reported pricing of public offering of common stock and warrants. Intercept Pharmaceuticals, Inc. (NASDAQ: ICPT ) dropped 16.3% to $76.71. Intercept has been notified by the FDA that AdCom meeting for obeticholic acid NDA has been postponed. AeroCentury Corp. (NYSE: ACY ) dipped 13.3% to $2.99. Document Security Systems, Inc. (NYSE: DSS ) dropped 13.2% to $7.34. Hewlett Packard Enterprise Co (NYSE: HPE ) fell 12.4% to $9.09 after the company reported weaker-than-expected Q2 results. PAVmed Inc. (NASDAQ: PAVM ) tumbled 12.1% to $2.3301 after reporting preliminary results for its first quarter. Nabors Industries Ltd. (NYSE: NBR ) dropped 11.8% to $25.94. Youdao, Inc. (NYSE: DAO ) fell 11.7% to $21.25. Hoth Therapeutics, Inc. (NASDAQ: HOTH ) fell 11.2% to $2.8150 after the company priced underwritten public offering of 1.8 million shares at $2.75 per share. Foot Locker, Inc. (NYSE: FL ) slipped 10.9% to $26.12 after the company reported worse-than-expected Q1 results and a 42.8% year-over-year decrease in comparable sales. CleanSpark, Inc. (NASDAQ: CLSK ) tumbled 10.4% to $2.1598. Xtant Medical Holdings, Inc. (NASDAQ: XTNT ) fell 9.8% to $1.57 after jumping 160% on Thursday. Prudential plc (NYSE: PUK ) dropped 9.5% to $24.78. Aurora Cannabis Inc. (NYSE: ACB ) fell 9.4% to $15.77. Aurora Cannabis shares jumped 37% on Thursday after the company announced plans to acquire CBD platform Reliva for $40 million in Aurora common shares. Gogo Inc. (NASDAQ: GOGO ) declined 8.8% to $2.19. Buckle Inc (NYSE: BKE ) fell 8.3% to $14.45 following Q1 results. ContraFect Corp (NASDAQ: CFRX ) fell 7.8% to $4.97 after the company announced a proposed public offering of common stock and warrants. GDS Holdings Limited (NASDAQ: GDS ) fell 7.4% to $55.14 after declining over 5% on Thursday. Dynavax Technologies Corporation (NASDAQ: DVAX ) shares fell 6.2% to $5.31 after the company announced a proposed public offering of common stock. Loading... Loading... A Agilent Technologies Inc $143.20 -1.82 % Overview ACB Aurora Cannabis Inc $4.96 -1.00 % ACTG Acacia Research Corp $3.32 -2.92 % BKE Buckle Inc $54.19 -1.51 % BLIN Bridgeline Digital Inc $1.31 1.16 % BLRX BioLine Rx Ltd $3.76 2.17 % CLSK Cleanspark Inc $18.92 -1.20 % DAO Youdao Inc $10.90 0.74 % DSS DSS Inc Not Available - % DVAX Dynavax Technologies Corp $10.30 -1.53 % ELF e.l.f. Beauty Inc $127.24 -3.39 % EOLS Evolus Inc $6.83 -2.98 % GDS GDS Holdings Ltd $37.68 5.05 % GERN Geron Corp $1.24 -3.13 % GOGO Gogo Inc $8.88 -5.93 % GURE Gulf Resources Inc $5.05 -3.26 % HOTH Hoth Therapeutics Inc $1.41 1.44 % HPE Hewlett Packard Enterprise Co $24.20 -0.21 % MBOT Microbot Medical Inc $2.13 -2.74 % NAVB Navidea Biopharmaceuticals Inc $0.00010 - % NBR Nabors Industries Ltd $50.24 6.51 % PAVM PAVmed Inc $0.4467 2.86 % PUK Prudential PLC $27.77 -1.63 % RAMP LiveRamp Holdings Inc $27.15 -2.65 % RCON Recon Technology Ltd $1.75 -1.13 % SEAC SeaChange International Inc $6.50 33.2 % SNDL SNDL Inc $2.17 -1.36 % SNDX Syndax Pharmaceuticals Inc $13.08 -3.19 % TLSA Tiziana Life Sciences Ltd $1.92 -1.54 % TTOO T2 Biosystems Inc $0.00510 -53.6 % VUZI Vuzix Corp $3.61 0.84 % XENE Xenon Pharmaceuticals Inc $42.30 -0.54 % XERS Xeris Biopharma Holdings Inc $9.62 4.23 % XTNT Xtant Medical Holdings Inc $0.9001 3.46 % Market News and Data brought to you by Benzinga APIs © 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. Add Comment Posted In: News Penny Stocks Intraday Update Markets Movers Trading Ideas Energy Mid-Day Movers Oil & Gas Drilling Top Gainers",Publisher A,2020-05-15,TSLA
8,Tesla Production Numbers Exceed Forecasts,https://www.benzinga.com/news/20/05/16105921/tesla-production-update,"NantKwest, Inc. (NASDAQ: NK ) and ImmunityBio, Inc., today announced that Patrick Soon-Shiong, M.D., Chairman and CEO of both companies, will present at the Jefferies Virtual Healthcare Conference on June 3, 2020 at 4:30 pm ET. The presentation will be webcast live and can be accessed through the NantKwest and ImmunityBio websites, NantKwest.com and ImmunityBio.com . An archived replay will be available on the websites for approximately 30 days. About NantKwest NantKwest (NASDAQ: NK ) is an innovative, clinical-stage immunotherapy company focused on harnessing the power of the innate immune system to treat cancer and virally-induced infectious diseases. NantKwest is the leading producer of clinical dose forms of off-the-shelf natural killer (NK) cell therapies. The activated NK cell platform is designed to destroy cancer and virally-infected cells. The safety of these optimized activated NK cells—as well as their activity against a broad range of cancers—has been tested in Phase I clinical trials in Canada and Europe, as well as in multiple Phase I and II clinical trials in the United States. By leveraging an integrated and extensive genomics and transcriptomics discovery and development engine, together with a pipeline of multiple, clinical-stage, immuno-oncology programs, NantKwest's goal is to transform medicine by delivering off-the-shelf living drugs-in-a-bag and bringing novel NK cell-based therapies to routine clinical care. NantKwest is a member of the NantWorks ecosystem of companies. For more information, please visit www.nantkwest.com . haNK is a registered trademark of NantKwest, Inc. Forward-Looking Statements This press release contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements include statements concerning or implying that NantKwest will be successful in improving the treatment of cancer and/or Covid-19. Risks and uncertainties related to this endeavor include, but are not limited to, obtaining FDA approval of NantKwest's NK cells, as well as other therapeutics, as part of the NANT Cancer Vaccine platform as a cancer treatment and/or Covid-19 treatment. Forward-looking statements are based on management's current expectations and are subject to various risks and uncertainties that could cause actual results to differ materially and adversely from those expressed or implied by such forward-looking statements. Accordingly, these forward-looking statements do not constitute guarantees of future performance, and you are cautioned not to place undue reliance on these forward-looking statements. These and other risks regarding NantKwest's business are described in detail in its Securities and Exchange Commission filings, including in NantKwest's Quarterly Report on Form 10-Q for the Quarter ended March 31, 2020. These forward-looking statements speak only as of the date hereof, and we disclaim any obligation to update these statements except as may be required by law. About ImmunityBio ImmunityBio, Inc. is a privately held immunotherapy company with a broad portfolio of biological molecules at clinical stages of development. The Company's goals are to employ this portfolio to activate endogenous Natural Killer (NK) and CD8+ T cells in the fields of cancer and infectious disease. Specifically, in regards to cancer, ImmunityBio's goal is to develop a memory T-cell cancer vaccine to combat multiple tumor types—without the use of high-dose chemotherapy. Regarding infectious disease, the Company is addressing HIV, influenza, and the coronavirus SARS-CoV-2. The Company's first-in-human platform of technologies has enabled it to achieve one of the most comprehensive, late-stage clinical pipelines, activating both the innate (natural killer cell) and the adaptive immune systems. The product pipeline includes an albumin-linked chemotherapeutic (Aldoxorubicin), a novel IL-15 cytokine superagonist (N-803), checkpoint inhibitors, macrophage polarizing peptides, bi-specific fusion proteins targeting TGFb and IL-12, adenovirus, and yeast vaccine therapies targeting tumor-associated antigens and neoepitopes. In December 2019, the U.S. Food and Drug Administration (FDA) granted Breakthrough Therapy Designation to N-803 for BCG-unresponsive CIS non-muscle invasive bladder cancer (NMIBC). Other indications currently at registration-stage trials include BCG-unresponsive papillary bladder cancer, first- and second-line lung cancer, and metastatic pancreatic cancer. Forward-Looking Statements This press release contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements include statements concerning or implying that ImmunityBio will be successful in improving the treatment of cancer, the novel coronavirus, and other diseases. Risks and uncertainties related to this endeavor include, but are not limited to, the company's beliefs regarding the success, cost, and timing of its development activities, clinical trials and obtaining regulatory approval. Forward-looking statements are based on management's current expectations and are subject to various risks and uncertainties that could cause actual results to differ materially and adversely from those expressed or implied by such forward-looking statements. Accordingly, these forward-looking statements do not constitute guarantees of future performance, and you are cautioned not to place undue reliance on these forward-looking statements. These forward-looking statements speak only as of the date hereof, and we disclaim any obligation to update these statements except as may be required by law. View source version on businesswire.com: https://www.businesswire.com/news/home/20200526005121/en/ Loading... Loading... Market News and Data brought to you by Benzinga APIs © 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. Add Comment Posted In: Press Releases",Publisher B,2020-05-18,TSLA
2,Microsoft Strong Buy Rating - Target $250,https://seekingalpha.com/news/3521666-notable-earnings-monday-s-close?source=partner_benzinga,,Publisher A,2020-05-20,MSFT
7,Microsoft Cloud Services Show Impressive Growth,https://seekingalpha.com/news/3521777-microsoft-cloud-growth,,Publisher B,2020-05-25,MSFT
